,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300015.XSHE,爱尔眼科,40.6132,58.4969,21.6518,37.0136,医药生物I,2009-10-30
300296.XSHE,利亚德,36.0032,76.1444,26.8937,35.3194,电子I,2012-03-15
300144.XSHE,宋城演艺,47.9498,85.466,27.869,32.6083,休闲服务I,2010-12-09
300003.XSHE,乐普医疗,33.2492,71.1333,22.1379,31.1217,医药生物I,2009-10-30
300059.XSHE,东方财富,24.2139,155.301,29.3217,18.8806,传媒I,2010-03-19
300136.XSHE,信维通信,42.7018,35.6959,5.4547,15.2809,电子I,2010-11-05
300017.XSHE,网宿科技,16.2478,84.9275,6.1798,7.2765,通信I,2009-10-30
300124.XSHE,汇川技术,31.6309,61.6557,3.1143,5.0511,电气设备I,2010-09-28
300408.XSHE,三环集团,38.0856,66.2759,2.6014,3.9251,电子I,2014-12-03
300070.XSHE,碧水源,23.2543,214.6948,8.1874,3.8135,公用事业I,2010-04-21
300251.XSHE,光线传媒,17.8371,97.594,2.4106,2.47,传媒I,2011-08-03
300142.XSHE,沃森生物,2.2349,50.1298,1.0682,2.1308,医药生物I,2010-11-12
300072.XSHE,三聚环保,2.6911,116.6006,1.3526,1.16,公用事业I,2010-04-27
300033.XSHE,同花顺,12.7443,30.2634,0.239,0.7896,计算机I,2009-12-25
300122.XSHE,智飞生物,40.421,38.1612,0.1928,0.5052,医药生物I,2010-09-28
300433.XSHE,蓝思科技,59.1346,173.3789,0.4497,0.2594,电子I,2015-03-18
